127.0.0.1 - - [21/Jan/2024:21:06:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Jan/2024:21:06:07 +0530] "GET /mvc_Food_App/adminloginform.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [21/Jan/2024:21:06:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Jan/2024:21:06:16 +0530] "POST /mvc_Food_App/validate HTTP/1.1" 500 3690
0:0:0:0:0:0:0:1 - - [21/Jan/2024:21:06:27 +0530] "POST /mvc_Food_App/validate HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [21/Jan/2024:21:06:49 +0530] "GET /mvc_Food_App/adduser HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [21/Jan/2024:21:06:52 +0530] "GET /mvc_Food_App/userloginform.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2024:21:06:56 +0530] "GET /mvc_Food_App/addproduct HTTP/1.1" 500 2488
0:0:0:0:0:0:0:1 - - [21/Jan/2024:21:07:00 +0530] "GET /mvc_Food_App/viewallproducts HTTP/1.1" 500 11090
0:0:0:0:0:0:0:1 - - [21/Jan/2024:21:08:12 +0530] "GET /mvc_Food_App/userloginform.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2024:21:08:53 +0530] "POST /mvc_Food_App/validateuser HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [21/Jan/2024:21:09:00 +0530] "GET /mvc_Food_App/addfoodorder HTTP/1.1" 500 6744
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:15:38 +0530] "GET /mvc_Food_App/addproduct HTTP/1.1" 500 2488
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:19:59 +0530] "GET /mvc_Food_App/addproduct HTTP/1.1" 500 2488
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:20:07 +0530] "POST /mvc_Food_App/validate HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:20:09 +0530] "GET /mvc_Food_App/addproduct.jsp HTTP/1.1" 500 3059
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:23:13 +0530] "GET /mvc_Food_App/viewallproducts HTTP/1.1" 500 11090
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:28:46 +0530] "GET /mvc_Food_App/addproduct.jsp HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:28:59 +0530] "GET /mvc_Food_App/saveitem?name=abc&cost=76&type=non HTTP/1.1" 500 3718
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:29:04 +0530] "GET /mvc_Food_App/saveitem?name=abc&cost=76&type=non HTTP/1.1" 500 3718
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:29:46 +0530] "GET /mvc_Food_App/saveitem?name=abc&cost=76&type=non HTTP/1.1" 500 3718
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:31:34 +0530] "GET /mvc_Food_App/saveitem?name=abc&cost=76&type=non HTTP/1.1" 500 3718
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:35:37 +0530] "GET /mvc_Food_App/saveitem?name=abc&cost=76&type=non HTTP/1.1" 500 3718
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:35:43 +0530] "GET /mvc_Food_App/saveitem?name=abc&cost=76&type=non HTTP/1.1" 500 3718
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:36:46 +0530] "GET /mvc_Food_App/saveitem?name=abc&cost=76&type=non HTTP/1.1" 500 3718
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:37:09 +0530] "GET /mvc_Food_App/addproduct.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:37:22 +0530] "GET /mvc_Food_App/saveproducts?name=abc&cost=76&type=non HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:37:31 +0530] "GET /mvc_Food_App/addproduct.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:37:38 +0530] "GET /mvc_Food_App/saveproducts?name=abc&cost=76&type=non HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:37:42 +0530] "GET /mvc_Food_App/viewallproducts HTTP/1.1" 500 11090
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:39:53 +0530] "GET /mvc_Food_App/viewallproducts HTTP/1.1" 500 11090
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:41:08 +0530] "GET /mvc_Food_App/viewallproducts HTTP/1.1" 500 11090
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:41:20 +0530] "GET /mvc_Food_App/saveproducts?name=abc&cost=76&type=non HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:41:26 +0530] "GET /mvc_Food_App/viewallproducts HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:41:38 +0530] "GET /mvc_Food_App/addproduct.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:41:40 +0530] "GET /mvc_Food_App/adduser HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:41:42 +0530] "GET /mvc_Food_App/userloginform.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:41:46 +0530] "GET /mvc_Food_App/userloginform.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Jan/2024:22:42:09 +0530] "POST /mvc_Food_App/validateuser HTTP/1.1" 200 237
